scientificName
Pseudomonas chlororaphis subsp. aureofaciens
Pseudomonas protegens
Pseudomonas savastanoi pv. savastanoi
Pseudomonas savastanoi pv. nerii
Pseudomonas savastanoi pv. fraxini
Pseudomonas agarici
Pseudomonas syringae pv. maculicola
Pseudomonas syringae pv. avii
Pseudomonas cannabina pv. alisalensis
Pseudomonas amygdali pv. aesculi
Pseudomonas amygdali pv. morsprunorum
Pseudomonas amygdali pv. lachrymans
Pseudomonas syringae
Pseudomonas coronafaciens pv. garcae
Pseudomonas lurida
Pseudomonas syringae pv. primulae
Pseudomonas coronafaciens pv. coronafaciens
Pseudomonas coronafaciens pv. striafaciens
Pseudomonas coronafaciens pv. oryzae
Pseudomonas mediterranea
Pseudomonas kilonensis
Pseudomonas cannabina
Pseudomonas chlororaphis subsp. aurantiaca
Pseudomonas syringae pv. cilantro
Pseudomonas syringae pv. apii
Pseudomonas syringae pv. ribicola
Pseudomonas syringae pv. pisi
Pseudomonas azotoformans
Pseudomonas avellanae
Pseudomonas amygdali
Pseudomonas amygdali pv. sesami
Pseudomonas amygdali pv. eriobotryae
Pseudomonas amygdali pv. myricae
Pseudomonas hunanensis
Pseudomonas panacis
Pseudomonas syringae pv. castaneae
Pseudomonas syringae pv. cerasicola
Pseudomonas syringae pv. coriandricola
Pseudomonas syringae pv. atrofaciens
Pseudomonas paralactis
Erwinia amylovora
Erwinia persicina
Erwinia rhapontici
Erwinia tracheiphila
Erwinia aphidicola
Erwinia mallotivora
Erwinia psidii
Erwinia pyrifoliae
Erwinia toletana
Erwinia billingiae
Erwinia tasmaniensis
Erwinia oleae
Erwinia piriflorinigrans
Erwinia endophytica
Erwinia gerundensis
Actinobaculum massiliense
Actinobaculum suis
Actinomyces bovis
Actinomyces bowdenii
Actinomyces cardiffensis
Actinomyces dentalis
Actinomyces denticolens
Actinomyces europaeus
Actinomyces funkei
Actinomyces georgiae
Actinomyces gerencseriae
Actinomyces graevenitzii
Actinomyces hominis
Actinomyces hongkongensis
Actinomyces howellii
Actinomyces hyovaginalis
Actinomyces israelii
Actinomyces johnsonii
Actinomyces marimammalium
Actinomyces massiliensis
Actinomyces meyeri
Actinomyces naeslundii
Actinomyces nasicola
Actinomyces neuii
Actinomyces odontolyticus
Actinomyces oricola
Actinomyces oris
Actinomyces radicidentis
Actinomyces radingae
Actinomyces slackii
Actinomyces suimastitidis
Actinomyces timonensis
Actinomyces turicensis
Actinomyces urogenitalis
Actinomyces vaccimaxillae
Actinomyces viscosus
Actinotignum sanguinis
Actinotignum schaalii
Actinotignum urinale
Arcanobacterium canis
Arcanobacterium haemolyticum
